phase,par_blend,ability_bias_sec,transfer_strength,mae,score,w_surface_only,w_distance_only,w_both
1,1.0,-1.0,0.0,41.34227977977978,41.456864907210175,,,
1,1.0,-1.0,0.5,41.34227977977978,41.456864907210175,,,
1,1.0,2.0,0.5,41.37433683683684,41.4863914302188,,,
1,1.0,2.0,1.0,41.37433683683684,41.4863914302188,,,
1,1.0,2.0,0.0,41.37433683683684,41.4863914302188,,,
1,1.0,2.0,1.0,41.584334334334336,41.701802644023736,,,
1,1.0,2.0,0.5,41.584334334334336,41.701802644023736,,,
1,1.0,2.0,0.0,41.584334334334336,41.701802644023736,,,
1,1.0,-2.0,1.0,41.935748248248245,42.04105432208449,,,
1,1.0,-2.0,0.5,41.935748248248245,42.04105432208449,,,
1,1.0,-2.0,0.0,41.935748248248245,42.04105432208449,,,
1,1.0,-2.0,0.0,42.07110860860861,42.18662491582359,,,
1,1.0,-2.0,0.5,42.07110860860861,42.18662491582359,,,
1,1.0,-2.0,1.0,42.07110860860861,42.18662491582359,,,
1,1.0,-2.0,0.5,42.17657657657658,42.29051282810425,,,
1,1.0,-2.0,1.0,42.17657657657658,42.29051282810425,,,
1,1.0,-2.0,0.0,42.17657657657658,42.29051282810425,,,
